,Unnamed: 0,year,pick,pick_team,player,draft_team,extra_check,pick_team_normalized
0,0,1985,1,New York Knicks,Patrick Ewing,New York Knicks,False,new york knicks
1,1,1985,2,Indiana Pacers,Wayman Tisdale,Indiana Pacers,False,indiana pacers
2,2,1985,3,Los Angeles Clippers,Benoit Benjamin,Los Angeles Clippers,False,los angeles clippers
3,3,1985,4,Seattle SuperSonics,Xavier McDaniel,Seattle SuperSonics,False,oklahoma city thunder
4,4,1986,1,Philadelphia Sixers,Brad Daugherty,Cleveland Cavaliers,True,philadelphia 76ers
5,5,1986,2,Boston Celtics,Len Bias,Boston Celtics,False,boston celtics
6,6,1986,3,Golden State Warriors,Chris Washburn,Golden State Warriors,False,golden state warriors
7,7,1986,4,Indiana Pacers,Chuck Person,Indiana Pacers,False,indiana pacers
8,8,1987,1,San Antonio Spurs,David Robinson,San Antonio Spurs,False,san antonio spurs
9,9,1987,2,Phoenix Suns,Armen Gilliam,Phoenix Suns,False,phoenix suns
10,10,1987,3,New Jersey Nets,Dennis Hopson,New Jersey Nets,False,brooklyn nets
11,11,1987,4,Los Angeles Clippers,Reggie Williams,Los Angeles Clippers,False,los angeles clippers
12,12,1988,1,Los Angeles Clippers,Danny Manning,Los Angeles Clippers,False,los angeles clippers
13,13,1988,2,Indiana Pacers,Rik Smits,Indiana Pacers,False,indiana pacers
14,14,1988,3,Philadelphia Sixers,Charles Daniel Smith,Philadelphia Sixers,False,philadelphia 76ers
15,15,1988,4,New Jersey Nets,Chris Morris,New Jersey Nets,False,brooklyn nets
16,16,1989,1,Sacramento Kings,Pervis Ellison,Sacramento Kings,False,sacramento kings
17,17,1989,2,Los Angeles Clippers,Danny Ferry,Los Angeles Clippers,False,los angeles clippers
18,18,1989,3,San Antonio Spurs,Sean Elliott,San Antonio Spurs,False,san antonio spurs
19,19,1989,4,Miami Heat,Glen Rice,Miami Heat,False,miami heat
20,20,1990,1,New Jersey Nets,Derrick Coleman,New Jersey Nets,False,brooklyn nets
21,21,1990,2,Seattle SuperSonics,Gary Payton,Seattle SuperSonics,False,oklahoma city thunder
22,22,1990,3,Miami Heat,Mahmoud Abdul-Rauf,Denver Nuggets,True,miami heat
23,23,1990,4,Orlando Magic,Dennis Scott,Orlando Magic,False,orlando magic
24,24,1991,1,Charlotte Hornets,Larry Johnson,Charlotte Hornets,False,charlotte hornets
25,25,1991,2,New Jersey Nets,Kenny Anderson,New Jersey Nets,False,brooklyn nets
26,26,1991,3,Sacramento Kings,Billy Owens,Sacramento Kings,False,sacramento kings
27,27,1991,4,Denver Nuggets,Dikembe Mutombo,Denver Nuggets,False,denver nuggets
28,28,1992,1,Orlando Magic,Shaquille O'Neal,Orlando Magic,False,orlando magic
29,29,1992,2,Charlotte Hornets,Alonzo Mourning,Charlotte Hornets,False,charlotte hornets
30,30,1992,3,Minnesota Timberwolves,Christian Laettner,Minnesota Timberwolves,False,minnesota timberwolves
31,31,1992,4,Dallas Mavericks,Jim Jackson,Dallas Mavericks,False,dallas mavericks
32,32,1993,1,Orlando Magic,Chris Webber,Orlando Magic,False,orlando magic
33,33,1993,2,Philadelphia Sixers,Shawn Bradley,Philadelphia Sixers,False,philadelphia 76ers
34,34,1993,3,Golden State Warriors,Penny Hardaway,Golden State Warriors,False,golden state warriors
35,35,1993,4,Dallas Mavericks,Jamal Mashburn,Dallas Mavericks,False,dallas mavericks
36,36,1994,1,Milwaukee Bucks,Glenn Robinson,Milwaukee Bucks,False,milwaukee bucks
37,37,1994,2,Dallas Mavericks,Jason Kidd,Dallas Mavericks,False,dallas mavericks
38,38,1994,3,Detroit Pistons,Grant Hill,Detroit Pistons,False,detroit pistons
39,39,1994,4,Minnesota Timberwolves,Donyell Marshall,Minnesota Timberwolves,False,minnesota timberwolves
40,40,1995,1,Golden State Warriors,Joe Smith,Golden State Warriors,False,golden state warriors
41,41,1995,2,Los Angeles Clippers,Antonio McDyess,Los Angeles Clippers,False,los angeles clippers
42,42,1995,3,Philadelphia Sixers,Jerry Stackhouse,Philadelphia Sixers,False,philadelphia 76ers
43,43,1995,4,Washington Bullets,Rasheed Wallace,Washington Bullets,False,washington wizards
44,44,1996,1,Philadelphia Sixers,Allen Iverson,Philadelphia Sixers,False,philadelphia 76ers
45,45,1996,2,Toronto Raptors,Marcus Camby,Toronto Raptors,False,toronto raptors
46,46,1996,3,Vancouver Grizzlies,Shareef Abdur-Rahim,Vancouver Grizzlies,False,memphis grizzlies
47,47,1996,4,Milwaukee Bucks,Stephon Marbury,Milwaukee Bucks,False,milwaukee bucks
48,48,1997,1,San Antonio Spurs,Tim Duncan,San Antonio Spurs,False,san antonio spurs
49,49,1997,2,Philadelphia Sixers,Keith Van Horn,Philadelphia Sixers,False,philadelphia 76ers
50,50,1997,3,Boston Celtics,Chauncey Billups,Boston Celtics,False,boston celtics
51,51,1997,4,Vancouver Grizzlies,Antonio Daniels,Vancouver Grizzlies,False,memphis grizzlies
52,52,1998,1,Los Angeles Clippers,Michael Olowokandi,Los Angeles Clippers,False,los angeles clippers
53,53,1998,2,Vancouver Grizzlies,Mike Bibby,Vancouver Grizzlies,False,memphis grizzlies
54,54,1998,3,Denver Nuggets,Raef LaFrentz,Denver Nuggets,False,denver nuggets
55,55,1998,4,Toronto Raptors,Antawn Jamison,Toronto Raptors,False,toronto raptors
56,56,1999,1,Chicago Bulls,Elton Brand,Chicago Bulls,False,chicago bulls
57,57,1999,2,Vancouver Grizzlies,Steve Francis,Vancouver Grizzlies,False,memphis grizzlies
58,58,1999,3,Charlotte Hornets,Baron Davis,Charlotte Hornets,False,charlotte hornets
59,59,1999,4,Los Angeles Clippers,Lamar Odom,Los Angeles Clippers,False,los angeles clippers
60,60,2000,1,New Jersey Nets,Kenyon Martin,New Jersey Nets,False,brooklyn nets
61,61,2000,2,Vancouver Grizzlies,Stromile Swift,Vancouver Grizzlies,False,memphis grizzlies
62,62,2000,3,Los Angeles Clippers,Darius Miles,Los Angeles Clippers,False,los angeles clippers
63,63,2000,4,Chicago Bulls,Marcus Fizer,Chicago Bulls,False,chicago bulls
64,64,2001,1,Washington Wizards,Kwame Brown,Washington Wizards,False,washington wizards
65,65,2001,2,Los Angeles Clippers,Tyson Chandler,Los Angeles Clippers,False,los angeles clippers
66,66,2001,3,Atlanta Hawks,Pau Gasol,Atlanta Hawks,False,atlanta hawks
67,67,2001,4,Chicago Bulls,Eddy Curry,Chicago Bulls,False,chicago bulls
68,68,2002,1,Houston Rockets,Yao Ming,Houston Rockets,False,houston rockets
69,69,2002,2,Chicago Bulls,Jay Williams,Chicago Bulls,False,chicago bulls
70,70,2002,3,Golden State Warriors,Mike Dunleavy,Golden State Warriors,False,golden state warriors
71,71,2002,4,Memphis Grizzlies,Drew Gooden,Memphis Grizzlies,False,memphis grizzlies
72,72,2003,1,Cleveland Cavaliers,LeBron James,Cleveland Cavaliers,False,cleveland cavaliers
73,73,2003,2,Memphis Grizzlies,Darko Milicic,Detroit Pistons,True,memphis grizzlies
74,74,2003,3,Denver Nuggets,Carmelo Anthony,Denver Nuggets,False,denver nuggets
75,75,2003,4,Toronto Raptors,Chris Bosh,Toronto Raptors,False,toronto raptors
76,76,2004,1,Orlando Magic,Dwight Howard,Orlando Magic,False,orlando magic
77,77,2004,2,Los Angeles Clippers,Emeka Okafor,Charlotte Bobcats,True,los angeles clippers
78,78,2004,3,Chicago Bulls,Ben Gordon,Chicago Bulls,False,chicago bulls
