,Unnamed: 0,year,team,rank_regular,rank_playoffs,team_normalized
0,0,1985,Boston Celtics,1,3,boston celtics
1,1,1985,Los Angeles Lakers,2,4,los angeles lakers
2,2,1985,Milwaukee Bucks,3,1,milwaukee bucks
3,3,1985,Philadelphia 76ers,4,2,philadelphia 76ers
4,4,1985,Denver Nuggets,5,2,denver nuggets
5,5,1985,Houston Rockets,6,0,houston rockets
6,6,1985,Detroit Pistons,7,1,detroit pistons
7,7,1985,Dallas Mavericks,8,0,dallas mavericks
8,8,1985,New Jersey Nets,9,0,brooklyn nets
9,9,1985,Portland Trail Blazers,10,1,portland trail blazers
10,10,1985,San Antonio Spurs,11,0,san antonio spurs
11,11,1985,Utah Jazz,12,1,utah jazz
12,12,1985,Washington Bullets,13,0,washington wizards
13,13,1985,Chicago Bulls,14,0,chicago bulls
14,14,1985,Cleveland Cavaliers,15,0,cleveland cavaliers
15,15,1985,Phoenix Suns,16,0,phoenix suns
16,16,1985,Atlanta Hawks,17,-1,atlanta hawks
17,17,1985,Kansas City Kings,18,-1,sacramento kings
18,18,1985,Los Angeles Clippers,19,-1,los angeles clippers
19,19,1985,Seattle SuperSonics,20,-1,oklahoma city thunder
20,20,1985,New York Knicks,21,-1,new york knicks
21,21,1985,Golden State Warriors,22,-1,golden state warriors
22,22,1985,Indiana Pacers,23,-1,indiana pacers
23,23,1986,Boston Celtics,1,4,boston celtics
24,24,1986,Los Angeles Lakers,2,2,los angeles lakers
25,25,1986,Milwaukee Bucks,3,2,milwaukee bucks
26,26,1986,Philadelphia 76ers,4,1,philadelphia 76ers
27,27,1986,Houston Rockets,5,3,houston rockets
28,28,1986,Atlanta Hawks,6,1,atlanta hawks
29,29,1986,Denver Nuggets,7,1,denver nuggets
30,30,1986,Detroit Pistons,8,0,detroit pistons
31,31,1986,Dallas Mavericks,9,1,dallas mavericks
32,32,1986,Utah Jazz,10,0,utah jazz
33,33,1986,Portland Trail Blazers,11,0,portland trail blazers
34,34,1986,New Jersey Nets,12,0,brooklyn nets
35,35,1986,Washington Bullets,13,0,washington wizards
36,36,1986,Sacramento Kings,14,0,sacramento kings
37,37,1986,San Antonio Spurs,15,0,san antonio spurs
38,38,1986,Los Angeles Clippers,16,-1,los angeles clippers
39,39,1986,Phoenix Suns,17,-1,phoenix suns
40,40,1986,Seattle SuperSonics,18,-1,oklahoma city thunder
41,41,1986,Chicago Bulls,19,0,chicago bulls
42,42,1986,Golden State Warriors,20,-1,golden state warriors
43,43,1986,Cleveland Cavaliers,21,-1,cleveland cavaliers
44,44,1986,Indiana Pacers,22,-1,indiana pacers
45,45,1986,New York Knicks,23,-1,new york knicks
46,46,1987,Los Angeles Lakers,1,4,los angeles lakers
47,47,1987,Boston Celtics,2,3,boston celtics
48,48,1987,Atlanta Hawks,3,1,atlanta hawks
49,49,1987,Dallas Mavericks,4,0,dallas mavericks
50,50,1987,Detroit Pistons,5,2,detroit pistons
51,51,1987,Milwaukee Bucks,6,1,milwaukee bucks
52,52,1987,Portland Trail Blazers,7,0,portland trail blazers
53,53,1987,Philadelphia 76ers,8,0,philadelphia 76ers
54,54,1987,Utah Jazz,9,0,utah jazz
55,55,1987,Golden State Warriors,10,1,golden state warriors
56,56,1987,Houston Rockets,11,1,houston rockets
57,57,1987,Washington Bullets,12,0,washington wizards
58,58,1987,Indiana Pacers,13,0,indiana pacers
59,59,1987,Chicago Bulls,14,0,chicago bulls
60,60,1987,Seattle SuperSonics,15,2,oklahoma city thunder
61,61,1987,Denver Nuggets,16,0,denver nuggets
62,62,1987,Phoenix Suns,17,-1,phoenix suns
63,63,1987,Cleveland Cavaliers,18,-1,cleveland cavaliers
64,64,1987,Sacramento Kings,19,-1,sacramento kings
65,65,1987,San Antonio Spurs,20,-1,san antonio spurs
66,66,1987,New Jersey Nets,21,-1,brooklyn nets
