team,mean,min,max,std
new orleans pelicans,1740.2139999999997,922.95,2343.08,301.07632112804885
atlanta hawks,1725.7775999999994,1116.4900000000005,2378.659999999998,275.9720282170639
brooklyn nets,1720.3491999999999,1161.9099999999996,2389.1399999999985,289.9286963157666
denver nuggets,1719.4844,1003.02,2365.2999999999997,302.68943443840266
philadelphia 76ers,1713.6471999999997,1035.2700000000004,2551.3700000000003,323.4187039677204
washington wizards,1711.9,1191.1800000000005,2322.429999999998,256.15605843313546
sacramento kings,1699.6588000000004,1079.3200000000004,2322.1799999999985,283.9001217868001
cleveland cavaliers,1695.9374000000003,1120.39,2434.55,304.2741195094318
san antonio spurs,1693.8216,1225.9000000000005,2526.3399999999992,334.5836564888369
phoenix suns,1690.4281999999998,975.52,2441.4600000000005,328.7886665606953
indiana pacers,1678.3383999999999,1006.97,2492.87,319.65798660668565
portland trail blazers,1674.9322,975.46,2461.37,328.3169796540532
memphis grizzlies,1671.1947999999998,1079.4599999999994,2254.889999999999,249.4314933061982
utah jazz,1671.1162,1076.2500000000007,2410.610000000001,273.1959839521071
golden state warriors,1663.7925999999998,1118.5499999999995,2710.1699999999996,328.79036895146425
dallas mavericks,1661.0664,882.39,2511.650000000001,290.6830968787831
new york knicks,1655.5058,991.29,2710.4300000000007,340.2586145924303
oklahoma city thunder,1654.668,966.41,2375.55,288.7303291931763
los angeles clippers,1652.7636000000002,1047.3000000000002,2344.43,315.41710888764425
minnesota timberwolves,1647.9661999999998,1043.8599999999997,2427.6800000000017,326.47347138712524
miami heat,1637.3542000000002,845.97,2493.6000000000013,316.86557665413886
orlando magic,1629.6445999999999,1007.1500000000001,2145.099999999999,266.9648389972732
toronto raptors,1627.5468000000003,886.68,2289.5299999999997,301.9523826595181
los angeles lakers,1619.2805999999996,1086.7999999999995,2657.2600000000016,297.1196242351554
chicago bulls,1618.941,1031.4400000000005,2461.24,308.92136155500805
charlotte hornets,1618.239,950.9800000000001,2220.6699999999996,286.49022718585013
boston celtics,1603.5010000000004,1093.6199999999994,2574.820000000001,348.85542260512466
houston rockets,1598.0188000000003,1141.13,2258.0600000000004,275.34299561557754
milwaukee bucks,1596.3174000000006,1029.6600000000005,2073.6000000000013,238.05110205004308
detroit pistons,1596.0428,895.57,2657.379999999999,348.66671170067264
