,year,team_normalized,coins
0,1985,atlanta hawks,1.0
1,1986,atlanta hawks,0.75
2,1987,atlanta hawks,0.56
3,1988,atlanta hawks,0.42
4,1989,atlanta hawks,0.42
5,1990,atlanta hawks,1.42
6,1991,atlanta hawks,1.42
7,1992,atlanta hawks,2.42
8,1993,atlanta hawks,2.42
9,1994,atlanta hawks,1.82
10,1995,atlanta hawks,1.82
11,1996,atlanta hawks,1.36
12,1997,atlanta hawks,1.02
13,1998,atlanta hawks,1.02
14,1999,atlanta hawks,0.77
15,2000,atlanta hawks,1.77
16,2001,atlanta hawks,1.38
17,2002,atlanta hawks,2.38
18,2003,atlanta hawks,3.38
19,2004,atlanta hawks,4.38
20,2005,atlanta hawks,1.35
21,2006,atlanta hawks,2.35
22,2007,atlanta hawks,1.67
23,2008,atlanta hawks,1.67
24,2009,atlanta hawks,1.25
25,2010,atlanta hawks,0.94
26,2011,atlanta hawks,0.71
27,2012,atlanta hawks,0.71
28,2013,atlanta hawks,0.71
29,2014,atlanta hawks,0.71
30,2015,atlanta hawks,0.35
31,2016,atlanta hawks,0.26
32,2017,atlanta hawks,0.26
33,2018,atlanta hawks,0.63
34,2019,atlanta hawks,1.63
35,2020,atlanta hawks,2.63
36,2021,atlanta hawks,1.32
37,2022,atlanta hawks,1.32
38,2023,atlanta hawks,1.32
39,2024,atlanta hawks,0.0
40,1985,boston celtics,0.0
41,1986,boston celtics,0.0
42,1987,boston celtics,0.0
43,1988,boston celtics,0.0
44,1989,boston celtics,0.0
45,1990,boston celtics,0.0
46,1991,boston celtics,0.0
47,1992,boston celtics,0.0
48,1993,boston celtics,0.0
49,1994,boston celtics,1.0
50,1995,boston celtics,1.0
51,1996,boston celtics,2.0
52,1997,boston celtics,1.5
53,1998,boston celtics,2.5
54,1999,boston celtics,3.5
55,2000,boston celtics,4.5
56,2001,boston celtics,5.5
57,2002,boston celtics,2.75
58,2003,boston celtics,2.06
59,2004,boston celtics,2.06
60,2005,boston celtics,2.06
61,2006,boston celtics,3.06
62,2007,boston celtics,4.06
63,2008,boston celtics,0.0
64,2009,boston celtics,0.0
65,2010,boston celtics,0.0
66,2011,boston celtics,0.0
67,2012,boston celtics,0.0
68,2013,boston celtics,0.0
69,2014,boston celtics,1.0
70,2015,boston celtics,1.0
71,2016,boston celtics,1.0
72,2017,boston celtics,0.5
73,2018,boston celtics,0.25
74,2019,boston celtics,0.19
75,2020,boston celtics,0.09
76,2021,boston celtics,0.09
77,2022,boston celtics,0.02
78,2023,boston celtics,0.01
79,2024,boston celtics,0.0
80,1985,brooklyn nets,0.0
81,1986,brooklyn nets,0.0
82,1987,brooklyn nets,0.5
83,1988,brooklyn nets,1.12
84,1989,brooklyn nets,2.12
85,1990,brooklyn nets,0.0
86,1991,brooklyn nets,0.25
87,1992,brooklyn nets,0.25
88,1993,brooklyn nets,0.25
89,1994,brooklyn nets,0.25
90,1995,brooklyn nets,1.25
91,1996,brooklyn nets,2.25
92,1997,brooklyn nets,3.25
93,1998,brooklyn nets,3.25
94,1999,brooklyn nets,4.25
95,2000,brooklyn nets,0.0
96,2001,brooklyn nets,1.0
97,2002,brooklyn nets,0.25
98,2003,brooklyn nets,0.06
99,2004,brooklyn nets,0.05
100,2005,brooklyn nets,0.05
101,2006,brooklyn nets,0.04
102,2007,brooklyn nets,0.03
103,2008,brooklyn nets,1.03
104,2009,brooklyn nets,2.03
105,2010,brooklyn nets,1.51
106,2011,brooklyn nets,1.26
107,2012,brooklyn nets,2.26
108,2013,brooklyn nets,2.26
109,2014,brooklyn nets,1.69
110,2015,brooklyn nets,1.69
111,2016,brooklyn nets,1.35
112,2017,brooklyn nets,0.0
113,2018,brooklyn nets,1.0
114,2019,brooklyn nets,1.0
115,2020,brooklyn nets,1.0
116,2021,brooklyn nets,0.75
117,2022,brooklyn nets,0.75
118,2023,brooklyn nets,0.75
119,2024,brooklyn nets,0.88
120,1989,charlotte hornets,1.0
121,1990,charlotte hornets,2.0
122,1991,charlotte hornets,0.0
123,1992,charlotte hornets,0.25
124,1993,charlotte hornets,0.19
125,1994,charlotte hornets,1.19
