team,mean,min,max,std
24,4.64,3,8,1.109233969908964
9,4.5,3,8,1.044030650891055
23,4.48,3,7,0.9217374897442331
13,4.48,3,7,1.0438390680559912
7,4.44,3,7,0.92
30,4.42,2,6,0.9184770002564028
26,4.38,3,7,0.845931439302264
5,4.36,2,7,1.0537551897855593
4,4.36,3,6,0.7939773296511684
15,4.36,3,8,0.9951884243699783
21,4.34,3,7,0.8151073548925932
29,4.34,3,6,0.8627861844049196
1,4.34,3,7,0.9718024490605074
22,4.32,3,7,0.9682974749528165
28,4.32,3,6,0.7332121111929345
25,4.32,3,8,0.9042123644365853
27,4.3,3,6,0.8774964387392122
10,4.3,3,7,0.8774964387392122
12,4.28,3,6,0.8494704232638122
6,4.28,3,7,0.9389355675444403
2,4.26,3,6,0.6575712889109437
18,4.26,3,6,0.82
8,4.24,2,6,0.8138795979750322
19,4.22,3,7,0.9228217596047463
3,4.22,3,7,0.9228217596047463
20,4.22,3,6,0.7820485918406862
16,4.18,2,7,0.9734474818910367
17,4.12,2,6,0.9303762679690406
14,4.1,3,6,0.9219544457292886
11,4.08,3,6,0.844748483277715
