team,mean,min,max,std
3,5.26,3,7,0.8901685233707155
30,5.16,4,7,0.7310266752998826
5,5.14,3,7,0.8248636250920511
9,5.1,4,7,0.7810249675906654
24,5.06,4,7,0.7323933369440222
12,5.04,3,7,0.8475848040166836
20,5.04,3,7,0.8475848040166837
18,5.0,3,7,0.8717797887081347
27,5.0,3,7,0.8246211251235321
26,5.0,3,6,0.7211102550927979
15,5.0,3,7,0.8717797887081347
21,5.0,3,7,0.8246211251235321
2,5.0,3,7,0.916515138991168
13,5.0,3,6,0.8246211251235321
22,4.98,3,7,0.905317623820502
17,4.96,3,6,0.7735631842325487
8,4.94,3,7,0.8811356308764274
6,4.94,3,8,0.9035485598461214
10,4.9,4,7,0.6708203932499369
11,4.9,3,7,0.854400374531753
14,4.9,3,7,0.9848857801796104
4,4.88,3,7,0.9086253353280438
25,4.86,3,7,0.8720091742636656
19,4.86,3,6,0.6931089380465383
7,4.84,3,7,0.7838367176906169
16,4.82,4,6,0.7124605252222751
23,4.82,3,7,0.8874683092933517
1,4.8,3,7,0.938083151964686
29,4.72,3,6,0.7756287771866127
28,4.7,3,6,0.7549834435270749
