team,mean,min,max,std
indiana pacers,58.28,48,67,4.11844630898595
boston celtics,57.18,49,69,4.515263004521442
los angeles clippers,56.54,49,65,3.868901652924251
chicago bulls,55.88,44,65,4.179186523714873
portland trail blazers,55.66,43,64,4.264317061382749
atlanta hawks,55.44,43,68,4.336634639902236
dallas mavericks,55.22,44,64,4.225115383039853
minnesota timberwolves,54.7,44,64,4.459820624195551
toronto raptors,54.64,43,65,4.102487050558478
washington wizards,54.62,43,67,5.1841682071476045
detroit pistons,54.56,45,64,4.157691667259611
new york knicks,54.54,45,64,4.526411382099511
cleveland cavaliers,54.28,43,64,4.9113745530146655
milwaukee bucks,54.02,45,62,4.042227108909146
san antonio spurs,52.88,39,63,4.9583868344452515
utah jazz,52.68,40,62,5.009750492789037
miami heat,52.64,42,65,4.85287543627487
charlotte hornets,52.4,44,66,4.8
houston rockets,52.36,42,64,5.271660080088624
phoenix suns,51.92,44,64,4.302743310958719
philadelphia 76ers,51.72,44,64,4.613198456602533
oklahoma city thunder,51.42,43,64,4.214688600596727
los angeles lakers,51.4,43,62,4.180908992073374
golden state warriors,51.34,44,67,4.217155439392767
brooklyn nets,51.3,42,63,4.5
denver nuggets,50.82,42,63,4.264692251499515
new orleans pelicans,50.76,41,61,3.7606382437027897
sacramento kings,50.68,40,60,4.957580054825136
memphis grizzlies,50.06,42,57,3.684616669342959
orlando magic,50.06,40,61,4.721906394667306
