name,total_wins,total_loses,total_games,season_wins,season_loses,season_games,season_rank,playoff_rank,tickets,strength,season_draft_pick,total_seasons_played,avg_season_wins,avg_tickets,avg_strength,avg_season_rank,avg_draft_pick,playoff_round_1,playoff_round_2,playoff_round_3,playoff_final,playoff_championship,current_win_streak,current_loss_streak,max_win_streak,max_loss_streak
dallas mavericks,40912,41088,82000,39,43,82,18,-1,5664,44.58612387255343,8,1000,40.911999999999985,1856.5420000000001,40.25389375919442,15.092,15.750999999999996,544,281,131,63,35,0,2,6,6
oklahoma city thunder,40712,41288,82000,53,29,82,2,3,381,66.37439402014422,25,1000,40.71200000000006,1789.473,40.43212702401106,15.372,15.565,546,258,145,79,37,1,0,6,6
sacramento kings,40803,41197,82000,44,38,82,11,0,4000,40.932869741381076,19,1000,40.803000000000004,1730.5540000000003,41.26170473896371,15.317,15.608,545,282,127,67,43,2,0,6,6
miami heat,40667,41333,82000,39,43,82,19,-1,0,43.536086757006906,1,1000,40.66699999999999,1743.8949999999995,40.685430873105936,15.322,15.817999999999993,541,282,135,64,30,0,2,6,7
boston celtics,40554,41446,82000,26,56,82,29,-1,1000,29.95123157462349,11,1000,40.554000000000016,1806.1889999999999,40.90138985999506,15.484,15.348,522,275,149,68,29,0,1,6,6
new york knicks,41287,40713,82000,61,21,82,1,0,0,99.29743274717647,21,1000,41.287000000000035,1805.328,41.49683209516407,15.095,15.843000000000007,548,255,141,71,39,1,0,7,6
utah jazz,41117,40883,82000,37,45,82,22,-1,2928,60.88357493676542,4,1000,41.116999999999976,1837.2079999999996,40.449264032637,15.192,15.468,538,260,123,64,29,0,3,6,5
milwaukee bucks,40931,41069,82000,34,48,82,23,-1,3594,37.60775220881703,6,1000,40.931,2014.147000000001,40.18938166806926,15.345,15.558,536,248,128,64,29,0,2,6,6
portland trail blazers,40580,41420,82000,32,50,82,26,-1,3160,29.294958377406903,10,1000,40.57999999999996,2005.079,40.112116925242226,15.693,15.396,532,257,122,60,31,0,2,7,6
detroit pistons,40865,41135,82000,29,53,82,27,-1,2000,29.27308260416634,7,1000,40.865000000000045,1802.5390000000004,40.4809101463639,15.517,15.671,545,266,138,81,35,0,2,6,5
san antonio spurs,40924,41076,82000,43,39,82,12,0,3327,43.36108057108246,16,1000,40.92400000000001,1923.4250000000004,40.80997966351281,15.463,15.834,543,271,118,50,24,2,0,6,5
