name,total_wins,total_loses,total_games,season_wins,season_loses,season_games,season_rank,playoff_rank,coins,strength,season_draft_pick,total_seasons_played,avg_season_wins,avg_coins,avg_strength,avg_season_rank,avg_playoff_rank,avg_draft_pick
charlotte hornets,40688,41312,82000,48,34,82,3,0,12.5,73.46,15,1000,40.688,178.3629233028206,74.76183000000015,15.227,0.026999999999999986,11.330000000000007
milwaukee bucks,40988,41012,82000,45,37,82,5,0,189.84375,73.25,15,1000,40.988,165.4959899275061,74.72872000000021,14.825,0.06399999999999996,11.62
dallas mavericks,40953,41047,82000,45,37,82,6,0,0.0,73.84,1,1000,40.95299999999998,160.85134668088813,75.06696999999997,14.707,0.06400000000000003,11.506999999999996
houston rockets,41101,40899,82000,39,43,82,18,-1,250.0,75.77,15,1000,41.10100000000002,159.2982500402783,74.90326999999989,14.592,0.12599999999999992,11.835999999999999
boston celtics,41107,40893,82000,39,43,82,19,-1,493.75,74.72,8,1000,41.107,164.97546083097578,75.11200000000001,14.622,0.08800000000000005,11.651
washington wizards,41075,40925,82000,40,42,82,16,1,0.0,76.22,15,1000,41.07499999999999,157.52869639539736,75.1483300000001,14.813,0.025999999999999978,11.522000000000007
chicago bulls,41099,40901,82000,42,40,82,12,1,75.0,74.57,3,1000,41.099000000000046,131.09967650378692,74.70821999999984,14.705,0.162,12.038999999999993
golden state warriors,40777,41223,82000,36,46,82,25,-1,83.31298828125,74.93,2,1000,40.77700000000002,157.0965776239807,75.02366999999994,15.307,0.081,11.627999999999997
los angeles clippers,40938,41062,82000,35,47,82,28,-1,200.0,74.81,15,1000,40.937999999999946,160.32327199746675,74.87747999999984,15.218999999999998,0.022000000000000026,11.524000000000004
philadelphia 76ers,40996,41004,82000,36,46,82,26,-1,100.0,74.65,12,1000,40.99600000000006,158.39094657184614,75.0380699999999,15.221,0.01900000000000002,11.522999999999998
new york knicks,40884,41116,82000,36,46,82,27,-1,325.0,76.53,15,1000,40.88400000000003,161.42675291877097,75.04706,15.463,0.012000000000000014,11.67
atlanta hawks,40886,41114,82000,35,47,82,29,-1,183.59375,73.92,15,1000,40.886000000000045,168.7818560175527,74.62529999999991,15.414,0.13,11.839000000000011
phoenix suns,41089,40911,82000,44,38,82,8,0,208.59375,76.81,11,1000,41.08899999999996,156.80502468943584,75.00429000000011,15.103999999999996,0.047000000000000035,11.608999999999995
toronto raptors,40908,41092,82000,45,37,82,7,0,52.143698930740356,75.08,4,1000,40.90799999999998,180.64826759796188,75.03370000000002,15.614,0.04500000000000004,11.553999999999997
oklahoma city thunder,41059,40941,82000,42,40,82,13,3,131.4453125,72.8,10,1000,41.05899999999999,163.2363036066588,75.08371000000018,15.215,0.0619999999999999,11.563
denver nuggets,41119,40881,82000,39,43,82,20,-1,100.0,77.97,15,1000,41.11900000000001,191.68832223713397,75.15286000000005,15.378999999999996,-0.0070000000000000175,11.348999999999998
detroit pistons,41044,40956,82000,50,32,82,1,0,400.0,74.16,6,1000,41.044,170.2368450409146,75.05275999999986,15.417,0.003999999999999988,11.475
brooklyn nets,40867,41133,82000,33,49,82,30,-1,200.0,75.47,15,1000,40.866999999999926,172.49368953683884,75.17158000000003,15.931000000000015,0.022,11.418000000000003
utah jazz,40995,41005,82000,41,41,82,14,1,35.37569348338465,76.11,15,1000,40.99500000000006,170.52885736290548,74.9269800000001,15.763,0.03199999999999995,11.477
indiana pacers,41051,40949,82000,39,43,82,21,-1,429.6875,72.97,7,1000,41.05099999999997,173.31332757070663,75.18438000000002,15.708000000000007,-0.018,11.412000000000004
new orleans pelicans,40926,41074,82000,39,43,82,22,-1,200.0,73.5,15,1000,40.92600000000001,195.85091227046715,75.06140000000013,16.056000000000026,-0.044,11.378
san antonio spurs,41160,40840,82000,39,43,82,23,-1,512.3046875,73.31,13,1000,41.16,176.46423826925485,75.01566000000024,15.678,-0.02000000000000001,11.460999999999999
cleveland cavaliers,41026,40974,82000,41,41,82,15,2,75.0,73.25,15,1000,41.02600000000002,173.19240988301033,74.97578999999993,15.841,-0.001000000000000016,11.204999999999997
portland trail blazers,40743,41257,82000,40,42,82,17,-1,196.875,75.82,15,1000,40.743000000000016,172.84392963068834,75.06370000000018,16.465000000000014,0.035999999999999935,11.434000000000008
memphis grizzlies,40886,41114,82000,43,39,82,10,1,95.83740234375,75.06,15,1000,40.88600000000002,172.6581294115782,75.20079999999996,16.234000000000044,0.03500000000000002,11.431000000000008
los angeles lakers,41152,40848,82000,49,33,82,2,0,0.0,75.3,15,1000,41.15200000000003,164.91086887733638,75.28589999999987,15.839,0.018,11.388000000000003
miami heat,41001,40999,82000,37,45,82,24,-1,450.0,72.42,14,1000,41.00099999999999,182.4077216385486,75.12024999999997,16.147,-0.012999999999999979,11.376000000000007
minnesota timberwolves,41101,40899,82000,44,38,82,9,4,0.0,77.06,15,1000,41.10099999999997,178.22208041565125,75.30481000000013,16.07600000000004,0.012,11.267
sacramento kings,41055,40945,82000,43,39,82,11,2,275.0,75.41,5,1000,41.05500000000006,176.2341033685897,74.98854000000003,16.158999999999978,-0.005000000000000011,11.199999999999996
orlando magic,41045,40955,82000,48,34,82,4,0,151.5625,76.25,9,1000,41.04500000000006,182.006875913501,74.95926999999992,16.258999999999986,-0.02600000000000002,11.314000000000004
