,year,rank,team
0,2023,1,Milwaukee Bucks
1,2023,2,Boston Celtics
2,2023,3,Philadelphia ers
3,2023,4,Denver Nuggets
4,2023,5,Cleveland Cavaliers
5,2023,6,Memphis Grizzlies
6,2023,7,Sacramento Kings
7,2023,8,New York Knicks
8,2023,9,Brooklyn Nets
9,2023,10,Phoenix Suns
10,2023,11,Golden State Warriors
11,2023,12,Los Angeles Clippers
12,2023,13,Miami Heat
13,2023,14,Los Angeles Lakers
14,2023,15,Minnesota Timberwolves
15,2023,16,New Orleans Pelicans
16,2023,17,Atlanta Hawks
17,2023,18,Toronto Raptors
18,2023,19,Chicago Bulls
19,2023,20,Oklahoma City Thunder
20,2023,21,Dallas Mavericks
21,2023,22,Utah Jazz
22,2023,23,Indiana Pacers
23,2023,24,Washington Wizards
24,2023,25,Orlando Magic
25,2023,26,Portland Trail Blazers
26,2023,27,Charlotte Hornets
27,2023,28,Houston Rockets
28,2023,29,San Antonio Spurs
29,2023,30,Detroit Pistons
30,2024,1,Boston Celtics
31,2024,2,Denver Nuggets
32,2024,3,Oklahoma City Thunder
33,2024,4,Minnesota Timberwolves
34,2024,5,Los Angeles Clippers
35,2024,6,Dallas Mavericks
36,2024,7,New York Knicks
37,2024,8,Milwaukee Bucks
38,2024,9,New Orleans Pelicans
39,2024,10,Phoenix Suns
40,2024,11,Cleveland Cavaliers
41,2024,12,Indiana Pacers
42,2024,13,Los Angeles Lakers
43,2024,14,Orlando Magic
44,2024,15,Philadelphia ers
45,2024,16,Miami Heat
46,2024,17,Golden State Warriors
47,2024,18,Sacramento Kings
48,2024,19,Houston Rockets
49,2024,20,Chicago Bulls
50,2024,21,Atlanta Hawks
51,2024,22,Brooklyn Nets
52,2024,23,Utah Jazz
53,2024,24,Memphis Grizzlies
54,2024,25,Toronto Raptors
55,2024,26,San Antonio Spurs
56,2024,27,Charlotte Hornets
57,2024,28,Portland Trail Blazers
58,2024,29,Washington Wizards
59,2024,30,Detroit Pistons
60,2025,1,Oklahoma City Thunder
61,2025,2,Cleveland Cavaliers
62,2025,3,Boston Celtics
63,2025,4,Houston Rockets
64,2025,5,New York Knicks
65,2025,6,Denver Nuggets
66,2025,7,Indiana Pacers
67,2025,8,Los Angeles Clippers
68,2025,9,Los Angeles Lakers
69,2025,10,Minnesota Timberwolves
70,2025,11,Golden State Warriors
71,2025,12,Memphis Grizzlies
72,2025,13,Milwaukee Bucks
73,2025,14,Detroit Pistons
74,2025,15,Orlando Magic
75,2025,16,Atlanta Hawks
76,2025,17,Sacramento Kings
77,2025,18,Chicago Bulls
78,2025,19,Dallas Mavericks
79,2025,20,Miami Heat
80,2025,21,Phoenix Suns
81,2025,22,Portland Trail Blazers
82,2025,23,San Antonio Spurs
83,2025,24,Toronto Raptors
84,2025,25,Brooklyn Nets
85,2025,26,Philadelphia ers
86,2025,27,New Orleans Pelicans
87,2025,28,Charlotte Hornets
88,2025,29,Washington Wizards
89,2025,30,Utah Jazz
